tic,w_mv,w_eq,train_end,test_start,test_end
A,1.5355572204191163e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AAPL,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ABBV,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ABNB,2.187027937832914e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ABT,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ACGL,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ACN,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ADI,2.86579765474091e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ADM,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ADSK,6.179594797917444e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AEE,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AEP,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AES,2.791805174717321e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AFL,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AIG,8.117987835077605e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AIZ,9.92720716100755e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AJG,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AKAM,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ALB,2.866006275858477e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ALGN,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ALL,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ALLE,2.0692991994721008e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AMAT,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AMCR,8.219048523815391e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AMD,8.920470234630107e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AME,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AMGN,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AMP,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AMZN,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ANET,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ANSS,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AON,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AOS,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
APA,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
APD,9.386161748332159e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
APH,2.519456545179983e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
APTV,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
ATO,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AVGO,4.0206789183798715e-20,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AVY,1.3164576638756168e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AWK,1.1320629567316732e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AXON,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AXP,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
AZO,1.8154390028232425e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BA,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BAC,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BALL,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BAX,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BBY,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BDX,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BEN,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BF.B,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BIIB,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BKNG,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BKR,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BLDR,1.2110925846415874e-15,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BMY,4.287285952402444e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BR,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BRK.B,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BRO,6.067752503760368e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BSX,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
BWA,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CAG,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CARR,1.6462054433625236e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CAT,1.3187897689116723e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CB,5.5205317073109856e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CBRE,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CDNS,3.466261188693051e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CDW,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CE,1.54850314217551e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CEG,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CF,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CFG,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CHD,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CHRW,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CHTR,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CI,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CINF,1.427302846465976e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CL,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CLX,1.2037446365101756e-16,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CME,2.3405844338746494e-18,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CMG,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CMI,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CMS,2.4435691122852523e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CNC,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
CNP,0.0,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
COF,8.332273894821767e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
COO,9.099591589573352e-17,0.002352941176470588,2024-01-31,2024-02-01,2024-02-29
